passenger_count,avg(fare_per_mile)
,6.982829729499372
0.0,6.055972705566924
1.0,7.001408944723957
2.0,8.130493882368109
3.0,7.508651517038459
4.0,8.305123190134468
5.0,6.4338603126858
6.0,6.145584207013191
7.0,67.6395007342144
8.0,15.89242053789731
9.0,40.33450704225353
